,docket,year,issue,issue_area,case_source_circuit,case_origin_circuit,lc_direction,lc_disposition,overturn_count_predict,overturn_count_actual,overturn_predict,overturn_actual,justice_1,justice_2,justice_3,justice_4,justice_5,justice_6,justice_7,justice_8,justice_9,justice_1_dir,justice_2_dir,justice_3_dir,justice_4_dir,justice_5_dir,justice_6_dir,justice_7_dir,justice_8_dir,justice_9_dir,justice_chief,correct
38,2013-050-01,2013,10170.0,1.0,0,0,1.0,2.0,0.05487195566778899,1.0,False,True,0.054069444444444434,0.056027777777777774,0.05590277777777777,0.055798611111111104,0.05519065656565656,0.05452083333333333,0.05393194444444444,0.054348611111111104,0.05405694444444444,1.4042553191489362,1.4375,1.4791666666666667,1.4791666666666667,1.5416666666666667,1.6041666666666667,1.608695652173913,1.625,1.6875,0.05519065656565656,False
39,2013-051-01,2013,80180.0,8.0,13,1,1.0,4.0,0.10325953174911509,1.0,False,True,0.106962533993784,0.10703197843822844,0.10696947843822843,0.10663614510489511,0.10339687742812742,0.10078399864024865,0.09795344308469309,0.10111455419580419,0.09848677641802642,1.44,1.4705882352941178,1.5098039215686274,1.5098039215686274,1.5686274509803921,1.6274509803921569,1.6326530612244898,1.6470588235294117,1.7058823529411764,0.10339687742812742,False
40,2013-052-01,2013,80180.0,8.0,13,2,1.0,4.0,0.10444656878615212,1.0,False,True,0.10821253399378397,0.10853197843822844,0.10846947843822843,0.1081361451048951,0.10464687742812742,0.10164233197358198,0.09881177641802642,0.10222288752913752,0.09934510975135977,1.44,1.4705882352941178,1.5098039215686274,1.5098039215686274,1.5686274509803921,1.6274509803921569,1.6326530612244898,1.6470588235294117,1.7058823529411764,0.10464687742812742,False
41,2013-053-01,2013,10380.0,1.0,3,3,1.0,2.0,0.14790709676126337,1.0,False,True,0.15393015873015864,0.15385932539682534,0.15391765873015867,0.15282599206349196,0.15051109307359298,0.14499047619047611,0.1384854166666666,0.1437916666666666,0.1388520833333333,1.44,1.4705882352941178,1.5098039215686274,1.5098039215686274,1.5686274509803921,1.6274509803921569,1.6326530612244898,1.6470588235294117,1.7058823529411764,0.15051109307359298,False
42,2013-054-01,2013,100030.0,10.0,4,4,2.0,3.0,0.2680184714205548,0.2222222222222222,False,False,0.27906301406926404,0.27970051406926405,0.279331764069264,0.2785400974025974,0.2635205898268399,0.2619023358585859,0.260532693001443,0.2540910263347764,0.2554842081529582,1.471698113207547,1.5,1.537037037037037,1.537037037037037,1.5925925925925926,1.6296296296296295,1.6481481481481481,1.6538461538461537,1.7222222222222223,0.2635205898268399,True
43,2013-055-01,2013,80030.0,8.0,9,9,2.0,2.0,0.05616574467199467,0.0,False,False,0.058001945970695974,0.058001945970695974,0.05837694597069597,0.058460279304029306,0.055134521728271726,0.05452202172827174,0.05497023601398602,0.05397023601398602,0.05405356934731936,1.471698113207547,1.5,1.537037037037037,1.537037037037037,1.5925925925925926,1.6296296296296295,1.6481481481481481,1.6538461538461537,1.7222222222222223,0.055134521728271726,True
44,2013-056-01,2013,20260.0,2.0,9,9,2.0,3.0,0.10016100889850887,0.5555555555555556,False,True,0.10690254329004328,0.10741920995670994,0.10873379329004326,0.10871295995670995,0.0972108766233766,0.09586415043290043,0.09337545995670993,0.09150670995670993,0.0917233766233766,1.471698113207547,1.5,1.537037037037037,1.537037037037037,1.5925925925925926,1.6296296296296295,1.6481481481481481,1.6538461538461537,1.7222222222222223,0.0972108766233766,False
45,2013-057-01,2013,80170.0,8.0,9,9,1.0,2.0,0.09011143270309935,1.0,False,True,0.09366057692307689,0.09453557692307689,0.0946480769230769,0.0945230769230769,0.09170325369075367,0.0884844225219225,0.08581319236319235,0.08317569236319235,0.08445902569652569,1.490909090909091,1.5178571428571428,1.5357142857142858,1.5357142857142858,1.5892857142857142,1.6363636363636365,1.6428571428571428,1.6481481481481481,1.7321428571428572,0.09170325369075367,False
46,2013-058-01,2013,20010.0,2.0,7,7,-99.0,3.0,0.2605156084656085,1.0,False,True,0.2646708333333334,0.26579166666666676,0.2666791666666667,0.26615833333333344,0.25892500000000007,0.2582684523809525,0.2562934523809524,0.2537392857142858,0.25411428571428574,1.490909090909091,1.5178571428571428,1.5357142857142858,1.5357142857142858,1.5892857142857142,1.6363636363636365,1.6428571428571428,1.6481481481481481,1.7321428571428572,0.25892500000000007,False
47,2013-059-01,2013,50040.0,5.0,2,2,1.0,2.0,0.10439135602052269,0.8888888888888888,False,True,0.10660595238095237,0.10685595238095237,0.10694345238095238,0.1067142857142857,0.10494938672438671,0.10094791666666666,0.10413859126984128,0.09992708333333335,0.10243958333333335,1.5,1.5254237288135593,1.5423728813559323,1.5423728813559323,1.5932203389830508,1.6271186440677967,1.6379310344827587,1.6491228070175439,1.7241379310344827,0.10494938672438671,False
48,2013-060-01,2013,90220.0,9.0,6,6,1.0,2.0,0.06691672879589546,1.0,False,True,0.06922142857142856,0.06947142857142856,0.06945892857142857,0.0695422619047619,0.06662104978354978,0.06413525432900433,0.06542830988455989,0.06314775432900432,0.06522414321789322,1.5,1.5254237288135593,1.5423728813559323,1.5423728813559323,1.5932203389830508,1.6271186440677967,1.6379310344827587,1.6491228070175439,1.7241379310344827,0.06662104978354978,False
49,2013-061-01,2013,10420.0,1.0,4,4,2.0,2.0,0.1108567089546256,0.4444444444444444,False,False,0.11654565295815295,0.1171248196248196,0.11762690295815294,0.1164810696248196,0.10771856962481959,0.10509813311688311,0.10742729978354977,0.10442729978354977,0.10526063311688309,1.5,1.5254237288135593,1.5423728813559323,1.5423728813559323,1.5932203389830508,1.6271186440677967,1.6379310344827587,1.6491228070175439,1.7241379310344827,0.10771856962481959,True
50,2013-062-01,2013,80120.0,8.0,5,5,2.0,2.0,0.16337501595626594,1.0,False,True,0.16953939185814187,0.17003522519147518,0.17083939185814181,0.16995397519147515,0.15817821761571763,0.15806303904428898,0.16041065809190805,0.1556713723776223,0.15768387237762233,1.46875,1.4923076923076923,1.523076923076923,1.5384615384615385,1.5692307692307692,1.6153846153846154,1.625,1.6349206349206349,1.703125,0.15817821761571763,False
51,2013-063-01,2013,80130.0,8.0,12,12,1.0,9.0,0.06620246204412872,0.7777777777777778,False,True,0.07159172771672771,0.07239331501831504,0.07216414835164837,0.07144748168498169,0.0686575826950827,0.060949862637362656,0.06276275946275946,0.056899862637362644,0.058955418192918205,1.46875,1.4923076923076923,1.523076923076923,1.5384615384615385,1.5692307692307692,1.6153846153846154,1.625,1.6349206349206349,1.703125,0.0686575826950827,False
